10,667,Dessert,Dessert;Cold,AlmondCream Glutinous Ball
6,1515,Main,Baked Rice;Beef,BAKED RICE CURRY SLICED BEEF
115,1515,Main,BakedRice;Seafood,BAKED RICE EBI
193,545,Side,Dimsum;Pork,BBQ Pork Bun
6,1515,Main,Bakedrice;Beef,BP Beef Bk Rice
13,1273,Main,Western;Chicken,BP Chicken Chop
13,1273,Main,Spaghetti;Chicken,BP Chicken Chop Spag
32,1273,Main,Western;Chicken,BP Chix Chop & Fries
32,1273,Main,Spaghetti;Chicken,BP Chix Spag
219,667,Side,Dimsum;Pork,Beancurd Skin Prawn Roll
10,473,Dessert,Dessert;Cold,Beancurd w Mango
10,1151,Side,Vegetable;Seafood,Belacan 4 S.Bean
31,352,Side,Bread,Bo Lo Bun
36,594,Side,Soup;Beef,Borsch Soup
38,1188,Main,Noodlesoup;Beef,Braised Beef Brisket Soup Noodles
19,1200,Main,Noodle;Beef,Braised Beef brisket Noodles
19,1200,Main,Noodle;Chicken,CHICKEN CHOP EGG DRY NOODLE
70,1636,Main,Noodle;Seafood,CRISPY PRAWN NOODLE
159,1030,Main,Porridge;Pork,Cent Egg Pork Por
159,1442,Main,Spaghetti;Chicken,Chicken Chop Cream Spag
108,1394,Main,Noodle;Chicken,Chicken Dry Curry Ramen
20,594,Side,Dimsum;Chicken,Chicken Feet
70,1273,Main,Friedrice;Chicken,Chicken Flos Fried Rice
32,1273,Main,Friedrice;Chicken,Chicken Floss Egg Fried Rice
6,1321,Main,Rice;Chicken,Chicken Hot Pot Rice
15,1394,Side,Dimsum;Chicken,Chicken In A Basket(3PCS)
5,2121,Side,Dimsum;Chicken,Chicken In A Basket(5PCS)
57,909,Main,Soup;Chicken,Chicken Macaroni Soup
83,1394,Main,Noodlesoup;Chicken,Chicken Papaya Soup Beehoon
20,715,Side,Fingerfood;Chicken,Chicken with Seaweed
13,206,Drink,Drink;Hot,Chinese Tea
38,1515,Main,Bakedrice;Chicken,Chix Chop Bk Rice
117,594,Side,Dimsum;Chicken,Chix Feet
15,594,Side,Fingerfood;Chicken,Chix Wing Home-made Sour 'N' Spicy Powde
31,594,Side,Fingerfood;Chicken,Chix Wing Honey Sweet Sauce
15,594,Side,Fingerfood;Chicken,Chix Wing Japanese Sesame Sauce
10,594,Side,Fingerfood;Chicken,Chix Wing Nachos Cheese
19,1442,Main,Spaghetti;Chicken,Chs Bk Pork Chop Spag
70,1200,Main,Noodle;Pork,Chye Poh N Floss Dry Noodles
18,352,Drink,Drink;Cold,Coke
18,73,Drink,Drink;Cold,Cold / Iced Water
41,594,Side,Bread;Sweet,Condensed & Peanut TT
117,473,Side,Dimsum;Chicken,Custard Bun
10,100000,Side,Fingerfood;Seafood,Deep Fried Prawn (3pcs)
25,1151,Side,Fingerfood;Seafood,Deep-fried Prawns with Mango sauce
32,1273,Main,Friedrice;Pork,Diced Pork Fried Rice
31,473,Side,Bread;Savoury,Egg & Ham Sandwich
57,1394,Main,Noodle;Chicken,F'mented Pork Dry Curry Ramen
5,594,Side,Fingerfood;Vegetarian,F.Fries Curry Mayo
51,788,Side,Bread;Savoury,F.Toast Chicken Floss
71,2364,Side,Bread;Sweet,F.Toast Ice Cream
32,1273,Main,Noodle;Pork,Fermented Pork Dry Noodle
38,1394,Main,Western;Fish,Fish & Chips
6,1394,Main,Bakedrice;Fish,Fish Bk Rice
19,1273,Main,Noodle;Fish,Fish Egg Sauteed HF
19,1273,Main,Spaghetti;Fish,Fish Fillet Spag
51,1394,Main,Noodlesoup;Fish,Fish Papaya Soup Beehoon
13,1273,Main,Rice;Fish,Fish Slice Muifan
83,1030,Main,Porridge;Fish,Fish Slice Por
117,594,Side,Bread;Sweet,French Toast
20,594,Drink,Drink;Cold,Fresh  Lime Juice
74,352,Drink,Drink;Hot,Fresh Soy Milk
19,1394,Main,Noodle;Pork,Fried Spare Ribs Bee Hoon
25,958,Dessert,Dessert;Cold,Fruit Jelly Pudding
51,594,Side,Fingerfood;Chicken,HAM BO LO BUN
15,715,Side,Fingerfood;Chicken,HONEY CHICKEN WING (5pcs)
108,944,Main,Noodlesoup;Pork,Ham & Egg Soup Ndl
224,836,Side,Bread;Pork,Ham Egg Toast N French Fries
234,594,Side,Dimsum;Seafood,Har Gao
10,352,Dessert,Dessert;Cold,Home-Made Cold Beancurd
10,1914,Dessert,Dessert;Cold,Homemade Cold Beancurd
316,424,Drink,Drink;Hot,Hot Coffee-Tea
15,473,Drink,Drink;Hot,Hot Honey Green Tea
46,473,Drink,Drink;Hot,Hot Honey with Lemon
3,836,Drink,Drink;Cold,ICED MILO FLOAT
51,545,Drink,Drink;Cold,Ice Milo Dinosaur
163,473,Drink,Drink;Cold,Iced Coffee-Tea
3,836,Drink,Drink;Cold,Iced Coffee-Tea Float
10,594,Drink,Drink;Cold,Iced Honey Green Tea
79,594,Drink,Drink;Cold,Iced Lemon Tea
36,667,Drink,Drink;Cold,Iced Lychee Tea
186,473,Drink,Drink;Cold,Iced Milk Tea
10,667,Drink,Drink;Cold,Iced Peach Tea
51,473,Drink,Drink;Cold,Iced Soy Milk
13,667,Drink,Drink;Cold,Iced Yuzu Tea
46,352,Side,Bread;Sweet,Kaya Butter Bread
81,424,Side,Bread;Savoury,Kaya Butter Bread + Kopi
104,206,Drink,Drink;Hot,Kopi
153,473,Side,Bread;Savoury,L.Meat'N'Egg S'wich
3,473,Drink,Drink;Hot,LEMON COKE
5,242,Side,Addons;Pork,LUNCHEON MEAT (2pcs)
3,594,Drink,Drink;Cold,Lime Juice
15,594,Side,Fingerfood;Pork,Luncheon Meat Fries
38,1273,Main,Spaghetti;Pork,Luncheon Mushrm Cream Spag
20,473,Side,Bread;Savoury,Luncheon N Egg Sandwich
76,1067,Main,Noodlesoup;Pork,LuncheonMeatSoup Ndl
8,715,Drink,Drink;Cold,Lychee Ice-blended
10,836,Dessert,Dessert;Cold,Mango Pomelo
145,424,Drink,Drink;Hot,Milk Tea
69,229,Drink,Drink;Hot,Milo
10,1151,Side,Vegetable;Seafood,Minced Kai Lan W Silver Fish
6,1200,Main,Spaghetti;Vegetarian,Mushroom Cream Spag
87,788,Side,Dimsum;Pork,Pan Fried Dumpling
3,1430,Drink,Drink;Cold,Peach Ice-blended
25,594,Side,Bread;Sweet,Peanut Butter Milk Thick Toast
159,1394,Main,Noodle;Pork,Pork Chop Bee Hoon
38,1515,Main,Bakedrice;Pork,Pork Chop Bk Rice
19,1394,Main,Rice;Pork,Pork Chop Frag Rice
25,1394,Main,Noodle;Pork,Pork Chop Noodle
13,1030,Main,Porridge;Pork,Pork N Century Egg Congee
108,1394,Main,Noodle;Pork,Pork Ribs BH
25,1030,Main,Porridge;Pork,Pork n Century Egg Congee
31,836,Side,Fingerfood;Chicken,Prawn Paste Chicken
13,1067,Main,Rice;Chicken,Pumpkin Chix Chop Rice
8,594,Drink,Drink;Cold,RAINBOW SPRITE
209,594,Side,Dimsum;Pork,Radish Cake
13,1757,Main,Spaghetti;Seafood,SCALLOP CREAM SAUCE SPAGHETTI
57,1394,Main,Rice;Pork,SH Pork Chop Rice
13,1515,Main,Noodle;Duck,SMOKED DUCK DRY CURRY RAMEN
8,594,Drink,Drink;Cold,SOUR PLUM COKE
5,667,Dessert,Dessert;Cold,SOY MILK WITH GLUTINOUS BALL
51,1273,Main,Noodle;Pork;Seafood,SPECIAL STIR FRIED BEE HOON
92,594,Side,Dimsum;Pork,SPRING ROLL
38,1273,Main,Friedrice;Seafood,Sambal Seafood Fried Rice
25,1151,Main,Porridge;Seafood,Sampan Congee
6,1321,Main,Noodle;Seafood,Seafood Ee Noodle
13,1273,Main,Noodle;Seafood,Seafood Egg Hor Fun
6,1273,Main,Rice;Seafood,Seafood Muifan
6,1273,Main,Noodle;Seafood,Seafood Sauteed HF
45,1030,Main,Soup;Seafood;Pork,Seafood and Slice Pork Macaroni Soup
31,667,Dessert,Dessert;Cold,Sesame Cream Glutinous Ball
239,545,Side,Dimsum;Seafood;Pork,Siew Mai
178,1394,Main,Noodle;Pork,Signature Fried Noodles
216,1394,Main,Friedrice;Pork;Seafood;Chicken,Signature Fried Rice
210,1200,Main,Porridge;Seafood,Sliced Empress Congee
13,1273,Main,Noodle;Fish,Sliced Fish Egg Hor Fun
102,352,Side,Bread,Soft Boiled Eggs
25,836,Side,Soup,Soup Of The Day
32,1030,Main,Porridge;Pork,Spicy Pork Por
31,242,Side,Fingerfood;Vegetarian,Spicy Sour Fries
51,944,Main,Noodlesoup;Pork,Spy P.Dices Soup Ndl
41,594,Side,Dimsum;Pork,Steam Pork Spare Ribs
59,206,Drink,Drink;Hot,Teh
13,1030,Main,Noodle;Vegetarian,VEGETARIAN HOR FUN
19,1151,Main,Noodle;Vegetarian,VEGETARIAN RAMEN
41,715,Side,Soup;Pork;Seafood,Wanton Soup
95,1079,Main,Noodle;Pork;Seafood,Wanton Soup Noodle
79,73,Drink,Drink;Hot,Warm Water
5,715,Drink,Drink;Cold,Watermelon Ice
5,715,Drink,Drink;Cold,Watermelon Ice-Blended
95,1394,Main,Rice;Chicken,Yao Ma Tei Chix Rice
33,388,Drink,Drink;Hot,Yuzu Tea
