8,667,Dessert,Dessert;Cold,AlmondCream Glutinous Ball
7,1515,Main,Baked Rice;Beef,BAKED RICE CURRY SLICED BEEF
10,1515,Main,BakedRice;Seafood,BAKED RICE EBI
229,545,Side,Dimsum;Pork,BBQ Pork Bun
7,1515,Main,Bakedrice;Beef,BP Beef Bk Rice
3,1273,Main,Spaghetti;Chicken,BP Chicken Chop Spag
20,1273,Main,Western;Chicken,BP Chix Chop & Fries
13,1273,Main,Spaghetti;Chicken,BP Chix Spag
13,1515,Main,Spaghetti;Pork,Baked Pork Chop Cream Spag
198,667,Side,Dimsum;Pork,Beancurd Skin Prawn Roll
5,1151,Side,Vegetable;Seafood,Belacan 4 S.Bean
29,352,Side,Bread,Bo Lo Bun
13,594,Side,Soup;Beef,Borsch Soup
40,1188,Main,Noodlesoup;Beef,Braised Beef Brisket Soup Noodles
16,1200,Main,Noodle;Chicken,CHICKEN CHOP EGG DRY NOODLE
1,836,Drink,Drink;Cold,COKE FLOAT
30,1636,Main,Noodle;Seafood,CRISPY PRAWN NOODLE
16,1394,Main,Rice;Beef,CURRY BEEF BRISKET HOT POT WITH RICE
142,1030,Main,Porridge;Pork,Cent Egg Pork Por
102,1442,Main,Spaghetti;Chicken,Chicken Chop Cream Spag
59,1394,Main,Noodle;Chicken,Chicken Dry Curry Ramen
26,594,Side,Dimsum;Chicken,Chicken Feet
53,1273,Main,Friedrice;Chicken,Chicken Flos Fried Rice
3,1273,Main,Friedrice;Chicken,Chicken Floss Egg Fried Rice
23,1273,Main,Friedrice;Chicken,Chicken Floss N Egg Fried Rice
10,1321,Main,Rice;Chicken,Chicken Hot Pot Rice
32,1394,Side,Dimsum;Chicken,Chicken In A Basket(3PCS)
8,2121,Side,Dimsum;Chicken,Chicken In A Basket(5PCS)
63,909,Main,Soup;Chicken,Chicken Macaroni Soup
59,1394,Main,Noodlesoup;Chicken,Chicken Papaya Soup Beehoon
8,715,Side,Fingerfood;Chicken,Chicken with Seaweed
46,206,Drink,Drink;Hot,Chinese Tea
23,1515,Main,Bakedrice;Chicken,Chix Chop Bk Rice
185,594,Side,Dimsum;Chicken,Chix Feet
11,594,Side,Fingerfood;Chicken,Chix Wing BP
8,594,Side,Fingerfood;Chicken,Chix Wing Home-made Sour 'N' Spicy Powde
34,594,Side,Fingerfood;Chicken,Chix Wing Honey Sweet Sauce
8,594,Side,Fingerfood;Chicken,Chix Wing Japanese Sesame Sauce
8,594,Side,Fingerfood;Chicken,Chix Wing Nachos Cheese
7,1442,Main,Spaghetti;Chicken,Chs Bk Pork Chop Spag
26,1200,Main,Noodle;Pork,Chye Poh N Floss Dry Noodles
5,836,Dessert,Dessert;Cold,Coffee-Tea Snow Ice
1,352,Drink,Drink;Cold,Coke
7,121,Drink,Drink;Cold,Coke Float (Promo)
25,73,Drink,Drink;Cold,Cold / Iced Water
37,594,Side,Bread;Sweet,Condensed & Peanut TT
142,473,Side,Dimsum;Chicken,Custard Bun
55,100000,Side,Fingerfood;Seafood,Deep Fried Prawn (3pcs)
24,1151,Side,Fingerfood;Seafood,Deep-fried Prawns with Mango sauce
16,1273,Main,Friedrice;Pork,Diced Pork Fried Rice
55,473,Side,Bread;Savoury,Egg & Ham Sandwich
10,1394,Main,Noodle;Chicken,F'mented Pork Dry Curry Ramen
8,594,Side,Fingerfood;Vegetarian,F.Fries Curry Mayo
42,788,Side,Bread;Savoury,F.Toast Chicken Floss
42,2364,Side,Bread;Sweet,F.Toast Ice Cream
16,1273,Main,Noodle;Pork,Fermented Pork Dry Noodle
16,1394,Main,Western;Fish,Fish & Chips
20,1394,Main,Bakedrice;Fish,Fish Bk Rice
23,1273,Main,Noodle;Fish,Fish Egg Sauteed HF
46,1394,Main,Noodlesoup;Fish,Fish Papaya Soup Beehoon
23,1273,Main,Rice;Fish,Fish Slice Muifan
82,1030,Main,Porridge;Fish,Fish Slice Por
95,594,Side,Bread;Sweet,French Toast
11,594,Drink,Drink;Cold,Fresh  Lime Juice
69,352,Drink,Drink;Hot,Fresh Soy Milk
7,1394,Main,Noodle;Pork,Fried Spare Ribs Bee Hoon
18,121,Side,Fingerfood;Seafood,Fried Wanton 3pcs
37,958,Dessert,Dessert;Cold,Fruit Jelly Pudding
53,594,Side,Fingerfood;Chicken,HAM BO LO BUN
13,715,Side,Fingerfood;Chicken,HONEY CHICKEN WING (5pcs)
63,944,Main,Noodlesoup;Pork,Ham & Egg Soup Ndl
274,836,Side,Bread;Pork,Ham Egg Toast N French Fries
213,594,Side,Dimsum;Seafood,Har Gao
11,352,Dessert,Dessert;Cold,Home-Made Cold Beancurd
34,1914,Dessert,Dessert;Cold,Homemade Cold Beancurd
322,424,Drink,Drink;Hot,Hot Coffee-Tea
9,473,Drink,Drink;Hot,Hot Honey Green Tea
34,473,Drink,Drink;Hot,Hot Honey with Lemon
11,836,Drink,Drink;Cold,ICED MILO FLOAT
76,545,Drink,Drink;Cold,Ice Milo Dinosaur
78,473,Drink,Drink;Cold,Iced Coffee-Tea
1,836,Drink,Drink;Cold,Iced Coffee-Tea Float
13,594,Drink,Drink;Cold,Iced Honey Green Tea
43,594,Drink,Drink;Cold,Iced Lemon Tea
41,667,Drink,Drink;Cold,Iced Lychee Tea
152,473,Drink,Drink;Cold,Iced Milk Tea
3,836,Drink,Drink;Cold,Iced Milk Tea Float
11,667,Drink,Drink;Cold,Iced Peach Tea
26,473,Drink,Drink;Cold,Iced Soy Milk
8,667,Drink,Drink;Cold,Iced Yuzu Tea
50,352,Side,Bread;Sweet,Kaya Butter Bread
250,424,Side,Bread;Savoury,Kaya Butter Bread + Kopi
166,206,Drink,Drink;Hot,Kopi
179,473,Side,Bread;Savoury,L.Meat'N'Egg S'wich
8,473,Drink,Drink;Hot,LEMON COKE
13,242,Side,Addons;Pork,LUNCHEON MEAT (2pcs)
4,594,Drink,Drink;Cold,Lime Juice
16,594,Side,Fingerfood;Pork,Luncheon Meat Fries
7,1273,Main,Spaghetti;Pork,Luncheon Mushrm Cream Spag
103,473,Side,Bread;Savoury,Luncheon N Egg Sandwich
105,1067,Main,Noodlesoup;Pork,LuncheonMeatSoup Ndl
9,715,Drink,Drink;Cold,Lychee Ice-blended
21,836,Dessert,Dessert;Cold,Mango Pomelo
3,909,Dessert,Dessert;Cold,Mango SnowIce
158,424,Drink,Drink;Hot,Milk Tea
47,229,Drink,Drink;Hot,Milo
24,1151,Side,Vegetable;Seafood,Minced Kai Lan W Silver Fish
30,1394,Main,Baked Rice;Vegetarian,Mush Bk Rice
26,1200,Main,Spaghetti;Vegetarian,Mushroom Cream Spag
113,788,Side,Dimsum;Pork,Pan Fried Dumpling
8,1030,Side,Vegetable;Vegetarian,Paoched Lettuce
1,1430,Drink,Drink;Cold,Peach Ice-blended
13,594,Side,Bread;Sweet,Peanut Butter Milk Thick Toast
135,1394,Main,Noodle;Pork,Pork Chop Bee Hoon
40,1515,Main,Bakedrice;Pork,Pork Chop Bk Rice
7,1394,Main,Rice;Pork,Pork Chop Frag Rice
33,1394,Main,Noodle;Pork,Pork Chop Noodle
16,1030,Main,Porridge;Pork,Pork N Century Egg Congee
33,1394,Main,Noodle;Pork,Pork Ribs BH
49,1030,Main,Porridge;Pork,Pork n Century Egg Congee
21,836,Side,Fingerfood;Chicken,Prawn Paste Chicken
10,1067,Main,Rice;Chicken,Pumpkin Chix Chop Rice
12,594,Drink,Drink;Cold,RAINBOW SPRITE
235,594,Side,Dimsum;Pork,Radish Cake
3,909,Dessert,Dessert;Cold,Red Bean Snow
16,1757,Main,Spaghetti;Seafood,SCALLOP CREAM SAUCE SPAGHETTI
26,1394,Main,Rice;Pork,SH Pork Chop Rice
13,1515,Main,Noodle;Duck,SMOKED DUCK DRY CURRY RAMEN
5,594,Drink,Drink;Cold,SOUR PLUM COKE
11,667,Dessert,Dessert;Cold,SOY MILK WITH GLUTINOUS BALL
43,1273,Main,Noodle;Pork;Seafood,SPECIAL STIR FRIED BEE HOON
116,594,Side,Dimsum;Pork,SPRING ROLL
10,1273,Main,Friedrice;Seafood,Sambal Seafood Fried Rice
36,1151,Main,Porridge;Seafood,Sampan Congee
16,1321,Main,Noodle;Seafood,Seafood Ee Noodle
10,1273,Main,Noodle;Seafood,Seafood Egg Hor Fun
16,1273,Main,Rice;Seafood,Seafood Muifan
20,1273,Main,Noodle;Seafood,Seafood Sauteed HF
20,1030,Main,Soup;Seafood;Pork,Seafood and Slice Pork Macaroni Soup
42,667,Dessert,Dessert;Cold,Sesame Cream Glutinous Ball
348,545,Side,Dimsum;Seafood;Pork,Siew Mai
115,1394,Main,Noodle;Pork,Signature Fried Noodles
125,1394,Main,Friedrice;Pork;Seafood;Chicken,Signature Fried Rice
92,1200,Main,Porridge;Seafood,Sliced Empress Congee
82,352,Side,Bread,Soft Boiled Eggs
21,836,Side,Soup,Soup Of The Day
13,1030,Main,Porridge;Pork,Spicy Pork Por
13,242,Side,Fingerfood;Vegetarian,Spicy Sour Fries
3,352,Drink,Drink;Cold,Sprite
49,944,Main,Noodlesoup;Pork,Spy P.Dices Soup Ndl
37,594,Side,Dimsum;Pork,Steam Pork Spare Ribs
47,206,Drink,Drink;Hot,Teh
7,1030,Main,Noodle;Vegetarian,VEGETARIAN HOR FUN
16,1151,Main,Noodle;Vegetarian,VEGETARIAN RAMEN
5,182,Side,Addons;Vegetarian,WHITE RICE
42,715,Side,Soup;Pork;Seafood,Wanton Soup
23,1079,Main,Noodle;Pork;Seafood,Wanton Soup Noodle
58,73,Drink,Drink;Hot,Warm Water
3,788,Dessert,Dessert;Cold,Watermelon 'N' Jelly
17,715,Drink,Drink;Cold,Watermelon Ice
3,715,Drink,Drink;Cold,Watermelon Ice-Blended
49,1394,Main,Rice;Chicken,Yao Ma Tei Chix Rice
20,388,Drink,Drink;Hot,Yuzu Tea
